Video ID,Post Caption,Post Timestamp,Play Count,Like Count,Comment Count,Share Count,Save Count,Repost Count,Video Duration (s),Video Dimensions,Video Definition,Video Codec,Canonical URL,Creator Username,Creator Nickname,Creator User ID,Creator SEC UID,Creator Verified,Creator Follower Count,Creator Following Count,Creator Total Heart Count,Creator Total Video Count,Music ID,Music Title,Music Author,Is Original Sound,Audio Play URL,Keywords
7455762468644605217,My Top 5 Smart Home Tech Essentials:  Building a smart home used to be something that needed to be built into the foundations of your home. But now with ecosystems like Apple HomeKit and Amazon Alexa it’s so easy to start creating your dream home! Items in this video: Apple TV 4K Nanoleaf RGB lightstrip (HomeKit enabled) Nanoleaf Shapes (HomeKit enabled) Dyson V15 Detect Apple HomePod Mini If you’re interested in these items check the link in my bio and let me know if you want to see more smart home tech content!  #smarthome #tech #hometech #smarthometechnology #homekit #techtok #apple #smarttech #technology ,2025-01-04 02:46:30,92900,2295,46,119,927,0,96,576x1024,540p,h264,https://www.tiktok.com/@usmaanunplugged/video/7455762468644605217,usmaanunplugged,Usmaan,7293978695428162593,MS4wLjABAAAAMWP9VIjHsvAdE9i9TUjogU-1mULkfo0eoEOW9Bc5u-HgSC80AiZltngMKAKSEmcR,False,101600,213,2600000,354,7325591201210124290,Moonlite Love,Abir’yah,False,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/osTNgqDg2YlLFViq1QfBZjnjVntfdbtYCEBUpQ,"smarthome, tech, hometech, smarthometechnology, homekit, techtok, apple, smarttech, technology"
7525643638123056402,Three iPads installed across this three level home. Each of them sit in custom removable mounts and are set up with Apple Home for easy control from any floor 🙌  Head over to the link in our bio for more info on our robot® SnapMount.  . . . #robotsmarthomes #smarthomes #homeautomationsystems #apple #applehome #applehomekit #luxuryliving #luxuryhomes #luxurybuild #customisable #homeautomationexperts #smartliving #automation #voicecontrol #siri #smarthomelife #automation #applehomeguest #homecinema #voicecommand #appleipad #ipad #stayconnected #smartliving,2025-07-11 10:20:57,122800,2424,23,212,833,0,20,576x1024,540p,h264,https://www.tiktok.com/@robotsmarthomes/video/7525643638123056402,robotsmarthomes,robotsmarthomes,6743522881970521093,MS4wLjABAAAA0G1CMRKZmIMoieaYX55d_Ci7oz-sCCE10eQUTKKS3hOnz1jqR87PCt5IfdVmfuGs,False,2739,177,12100,50,5000000001002951966,Unut Gönlüm Onu,Ufuk Kızıl,False,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/ogEFPe0aDoLQAW6aRpbJcCeFzCw6GngbDABnCf,"robotsmarthomes, smarthomes, homeautomationsystems, apple, applehome, applehomekit, luxuryliving, luxuryhomes, luxurybuild, customisable, homeautomationexperts, smartliving, automation, voicecontrol, siri, smarthomelife, automation, applehomeguest, homecinema, voicecommand, appleipad, ipad, stayconnected, smartliving"
7432368577182764331,Have you ever seen a smart home like this? 👀 #fyp #smarthome #texas #luxury #luxuryhomes #luxurylife ,2024-11-02 01:46:06,32000,542,14,111,122,0,60,576x1024,540p,h264,https://www.tiktok.com/@knownproductions/video/7432368577182764331,knownproductions,KnownProductions,7162959773207168046,MS4wLjABAAAAqLPowxoe8S84hRvQytAcjAqB9wft8qcf9drAXFyxkj2Bq2Bi9wSDfJwEWrVsSUXo,False,1171,69,10200,91,7432368511709727530,original sound,KnownProductions,True,https://v77.tiktokcdn.com/d86abb0ec27241d3f4e3c15e16e5b9df/68d6b0aa/video/tos/maliva/tos-maliva-v-27dcd7c799-us/o0eKJnAiJBxEUJaIDCIAq3PfhOEgUFIDApSBAR/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7Thn~keKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M293cHU5cnJrdjMzZzU8NEBpM293cHU5cnJrdjMzZzU8NEAtNjFsMmRjNGZgLS1kMS9zYSMtNjFsMmRjNGZgLS1kMS9zcw%3D%3D&vvpl=1&l=2025092523253460F13EF2C4B9820CD515&btag=e00050000&cc=13,"fyp, smarthome, texas, luxury, luxuryhomes, luxurylife"
7268383374119570721,Making a Smart Home shouldn’t be expensive or inconvenient. Let’s start our #smarthomejourney by clearing some misconceptions. #smarthome #tech #techtok ,2023-08-18 03:59:43,126700,5274,56,188,2425,0,62,576x1024,540p,h264,https://www.tiktok.com/@plassonade/video/7268383374119570721,plassonade,Loris | Smart Home 🏡,6772142782033576966,MS4wLjABAAAA5XKiMgP6T-vu8ncPuGHAhHaPeG-_jDfEjYPSBEn3UZjk4PtBDkCg-cHeyv9oOJ-I,False,149500,115,6300000,290,7268383362975419168,original sound,Loris | Smart Home 🏡,True,https://v77.tiktokcdn.com/5ae719d17deb9421f4112d85983a0b26/68d6b099/video/tos/useast2a/tos-useast2a-v-2370-euttp/ogGIPIfKQCwZDgIDJeb8nknBNA3WkDUPDAIzA8/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7ThD~keKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=MzRqOjc6ZmY6bTMzZjU8M0BpMzRqOjc6ZmY6bTMzZjU8M0BtY2Q1cjRvbGNgLS1kMWNzYSNtY2Q1cjRvbGNgLS1kMWNzcw%3D%3D&vvpl=1&l=20250925232515F4744B3E1697B20C733C&btag=e00050000&cc=13,"smarthomejourney, smarthome, tech, techtok"
7272820193456295174,Turning Regular Laundry Machines into Smart Home Appliances! 🧺 #smarthome #smarthometechnology #smarthomeinspiration ,2023-08-30 02:56:50,35900,775,14,73,245,0,18,576x1024,540p,h264,https://www.tiktok.com/@.hoobs/video/7272820193456295174,.hoobs,HOOBS | Smart Home Hub ⚡️🏠,7256919334131057669,MS4wLjABAAAACmbRIx9JOvREz8b_RThdpHtf0TNqv67Gq8S8kP2eMUl1qExd4XH_tcAO5GN0cD4n,False,31300,13,507500,42,7272820251145603846,original sound,HOOBS | Smart Home Hub ⚡️🏠,True,https://v77.tiktokcdn.com/aab1ddecd5b24970fa19870d2f838b77/68d6b086/video/tos/useast2a/tos-useast2a-v-27dcd7/oYD7ESDnAebClE8APJHuoyKE3Aew3TE3BfCWwg/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7Thb~keKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M2w5ZzU6Znk2bTMzNzU8M0BpM2w5ZzU6Znk2bTMzNzU8M0AyX2xjcjRvcmtgLS1kMTZzYSMyX2xjcjRvcmtgLS1kMTZzcw%3D%3D&vvpl=1&l=202509252325404055A6D2C271910D61A5&btag=e00078000&cc=13,"smarthome, smarthometechnology, smarthomeinspiration"
7325601228078189870,"Starting a smart home doesn’t have to be complicated! If you are seeking an easier way to upgrade your space, I recommend the EcoSmart Hubspace bulbs from @The Home Depot. Set-up is a breeze, and they are also super renter-friendly! #HomeDepotPartner #smarthome #smartlights #smartlighting #smartbulb #THDEcoSmart",2024-01-19 08:34:47,152700,4232,33,439,1618,0,37,576x1024,540p,h264,https://www.tiktok.com/@techiedani/video/7325601228078189870,techiedani,Techie Dani 👩🏼‍💻,6759736006624281606,MS4wLjABAAAAcdGg94nGfesi7QrPctcYt-q49_P_KxofhNEoM0z7LoGSl5X-Iugdsg71yufoXKF6,False,473100,144,10200000,481,7325601392046099243,original sound,Techie Dani 👩🏼‍💻,True,https://v77.tiktokcdn.com/857c7c176ebf60c4dfc18686798b36ce/68d6b09f/video/tos/maliva/tos-maliva-v-27dcd7c799-us/oEenw4RkUCHLviLEAEFA8AEhRfdA6LFfGoTpIC/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7ThY~keKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=amt2eXk5cmR2cDMzZzU8NEBpamt2eXk5cmR2cDMzZzU8NEAyXnE0MmQ0NGhgLS1kMS9zYSMyXnE0MmQ0NGhgLS1kMS9zcw%3D%3D&vvpl=1&l=2025092523254610424B01F2EDAD0C2E09&btag=e00048000&cc=13,"homedepotpartner, smarthome, smartlights, smartlighting, smartbulb, thdecosmart"
7532667029464173832,"Smart living doesn’t have to be complicated!  With Apple Smart Home, you can control everything from your phone or just ask Siri. No more running around the house to turn off lights or wondering if you locked the door. It’s the little things that make life feel a whole lot easier 🙌 . . . #robotsmarthomes #smarthomes #homeautomationsystems #apple #applehome #siri #iphone ",2025-07-30 08:35:19,1996,56,5,4,12,0,62,576x1024,540p,h264,https://www.tiktok.com/@robotsmarthomes/video/7532667029464173832,robotsmarthomes,robotsmarthomes,6743522881970521093,MS4wLjABAAAA0G1CMRKZmIMoieaYX55d_Ci7oz-sCCE10eQUTKKS3hOnz1jqR87PCt5IfdVmfuGs,False,2739,177,12100,50,7532667071872813825,original sound,robotsmarthomes,True,https://v77.tiktokcdn.com/e657db1d1a76ec3780d2a341cd17b01c/68d6b09f/video/tos/alisg/tos-alisg-v-27dcd7/oURBBAiLMcBAEawMRHAhisJAf6oAC0EKaZEloT/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7ThO~keKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=amY5dHQ5cmxwNTMzODU8NEBpamY5dHQ5cmxwNTMzODU8NEAtLzAwMmRzZTFhLS1kMS1zYSMtLzAwMmRzZTFhLS1kMS1zcw%3D%3D&vvpl=1&l=202509252325216907486E3C89D30EF368&btag=e00050000&cc=13,"robotsmarthomes, smarthomes, homeautomationsystems, apple, applehome, siri, iphone"
7391816340396444935,what’s your favourite smart home purchase? maybe i’ll get that next! the switchbot curtain is linked in my storefront #smarthome #tech #gadget #switchbot #amazon #amazonfinds #amazonhaul #amazonmusthaves #amazonprime #amazonaustralia #siri #homepod #apple #automation ,2024-07-15 19:02:39,33000,1048,17,62,198,0,87,576x1024,540p,h264,https://www.tiktok.com/@brad/video/7391816340396444935,brad,Brad Canning,125607971601944576,MS4wLjABAAAADdN3OnLhjniq3ct8yL0MyjSsjd8ryGSaKzDhd8PW7102dPH1iCCYtfRYK3uVrZii,True,666300,1309,17000000,818,6998997669163042818,Yacht Club,MusicBox,False,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/31ef3728989d4b849eb7053e3a3418ab,"smarthome, tech, gadget, switchbot, amazon, amazonfinds, amazonhaul, amazonmusthaves, amazonprime, amazonaustralia, siri, homepod, apple, automation"
7459216117144341767,"Alexa is an excellent smart home control hub, but you might not want it listening to your conversations! 🤐✅ #259 #alexa #amazon #alexatips #techtips #smarthome #didyouknow #contentcreator #ugccreator #bravetech.ai",2025-01-14 04:00:00,573000,9770,176,7715,7455,0,66,576x1024,540p,h264,https://www.tiktok.com/@bravetech.ai/video/7459216117144341767,bravetech.ai,Thiago | Smart Tips⚡️,7337856095991972865,MS4wLjABAAAA3lW78Maj2VBWXhM6VOyG2qMzJym6HM-U41DCB8dlWaKeZco9ADiO9urPaSVNft_p,False,564500,32,3800000,526,7459216220609415952,original sound - Thiago | Smart Tips⚡️,Thiago | Smart Tips⚡️,True,https://v77.tiktokcdn.com/73699ba58f74da320dc679e298d596d0/68d6b0c3/video/tos/alisg/tos-alisg-v-27dcd7/oYSDsaDOFBYfCdEwBTp3ECHof1gIMgQfAPOipE/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=.NpOcInz7ThlXkeKXq8Zmo&mime_type=audio_mpeg&qs=6&rc=OzppO2ZnPDw7NGc6NjQzaUBpanIzcnQ5cjo6eDMzODU8NEA0MGIvNl80NjYxMGIvNS42YSNvYmhzMmRzXy9gLS1kMS1zcw%3D%3D&vvpl=1&l=20250925232552FADCFB5C87DDC70C3BA3&btag=e00090000&cc=13,"259, alexa, amazon, alexatips, techtips, smarthome, didyouknow, contentcreator, ugccreator, bravetech.ai"
7457735244221926699,Ms. Alexa hates to see me coming. I be putting her to work on the daily! #smarthome #luxuryapartment #apartmenttherapy ,2025-01-09 10:21:46,58900,3192,38,227,766,0,49,576x1024,540p,h264,https://www.tiktok.com/@mrrlittle/video/7457735244221926699,mrrlittle,Mrr Little,6791349837423936518,MS4wLjABAAAAwVrlKxG5LY32OCDlY-OmpeSuvRE0UQbx0gJsRmdJ8D-vg2NxOxL40kQ04lxjs--1,False,746500,259,13400000,1008,7204930659947644930,deep in it,berlioz & Ted Jasper,False,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oQervCnZI8CxUNBEcODQhTt1BfkubZ6SkxFogH,"smarthome, luxuryapartment, apartmenttherapy"
